premise	hypothesis	label
A silver car with all of its doors open.	she is a motorcycle	2
Two people walk along the side of a snowy mountain.	a man and a woman are walking in the snow.	0
Two people walk along the side of a snowy mountain.	we are strolling on a mountain.	1
Two people walk along the side of a snowy mountain.	they are sitting by a snowy mountain.	2
Two people climbing a snowy mountain.	some people are climbing xander lake mountain.	1
Two people climbing a snowy mountain.	three friends sisters climbing a snowy mountain.	2
Two people climbing a snowy mountain.	two boys are climbing a mountain.	0
People lean over in the snow.	some people are trying to get a better view of something.	1
People lean over in the snow.	there is snow and more than one person.	0
People lean over in the snow.	the day is warm and gloomy.	2
Two people, with buildings behind them, are standing near a blue car with two doors open.	two people were standing.	0
Two people, with buildings behind them, are standing near a blue car with two doors open.	they are looking at the blue light.	1
Two people, with buildings behind them, are standing near a blue car with two doors open.	the car is orange.	2
People in a city gathered around a blue station wagon.	people are next to a vehicle from the city.	0
People in a city gathered around a blue station wagon.	a family has gathered around the car to say goodbye to a departing relative.	1
People in a city gathered around a blue station wagon.	the station wagon is missing.	2
A light blue car stopped outside with all its doors open.	a car had been jacked and left abandoned.	1
A light blue car stopped outside with all its doors open.	* car is in a race ;	2
A light blue car stopped outside with all its doors open.	a car stalled outside with all of its doors open.	0
Woman in white dress holds dove while sitting in flowered tree.	the woman is trying to nurse the baby back to health.	1
Woman in white dress holds dove while sitting in flowered tree.	the woman is in black with doves perched in a tree above her.	2
Woman in white dress holds dove while sitting in flowered tree.	woman is outdoors and cradling a dove.	0
A blond woman in a white dress sits in a flowering tree while holding a white bird.	the girl is blonde.	0
A blond woman in a white dress sits in a flowering tree while holding a white bird.	the woman has red hair.	2
A blond woman in a white dress sits in a flowering tree while holding a white bird.	the author is a professor	1
A blond woman in a white dress sits in a flowering tree while holding a white bird.	the woman beats two men to make breakfast for her father.	2
A blond woman in a white dress sits in a flowering tree while holding a white bird.	a woman is playing the trumpet on the running board.	2
A blond woman in a white dress sits in a flowering tree while holding a white bird.	the johnson is being photographed for time magazine.	1
A blond woman in a white dress sits in a flowering tree while holding a white bird.	a captive bird is being held by a woman who is blonde, dressed in a white shirt, and sitting in a flowering tree.	0
A blond woman in a white dress sits in a flowering tree while holding a white bird.	the woman uses her other hand to architectone the branch.	0
A blond woman in a white dress sits in a flowering tree while holding a white bird.	the - looking man, who is dressed in white, is sitting in a tree holding a bird.	1
A blond woman in a white dress sits in a flowering tree while holding a white bird.	the woman was under the bed	2
A blond woman in a white dress sits in a flowering tree while holding a white bird.	a bird is killed chased by a woman in a house.	2
A blond woman in a white dress sits in a flowering tree while holding a white bird.	the ship was outside	0
A blond woman in a white dress sits in a flowering tree while holding a white bird.	the woman is a tall blonde.	1
A blond woman in a white dress sits in a flowering tree while holding a white bird.	the woman is older than fourteen years old.	0
A blond woman in a white dress sits in a flowering tree while holding a white bird.	the woman was wearing shoes.	1
a blond girl in a white dress holding a bird in a tree.	.ma is wearing a dress holding a mouse	2
a blond girl in a white dress holding a bird in a tree.	a lady is wearing a dress holding flowers.	0
a blond girl in a white dress holding a bird in a tree.	a lady is wearing a dress with a friendly bird	1
A woman is holding a bird while sitting in a flowering tree.	there are flowers on the stem	0
A woman is holding a bird while sitting in a flowering tree.	the woman was returning a parrot to its nest.	1
A woman is holding a bird while sitting in a flowering tree.	the beard is holding a bird.	0
A woman is holding a bird while sitting in a flowering tree.	a woman shoveling snow from her driveway.	2
A woman is holding a bird while sitting in a flowering tree.	the tree has elements on the bird while sad owner looks concerned	2
A woman is holding a bird while sitting in a flowering tree.	a woman and bird fly together	0
A woman is holding a bird while sitting in a flowering tree.	a woman is climbing up a tree.	2
A woman is holding a bird while sitting in a flowering tree.	the tree grows outdoors	1
A woman is holding a bird while sitting in a flowering tree.	the puppet is standing on the tree	2
A woman is holding a bird while sitting in a flowering tree.	the newspaper is outdoors.	0
A woman is holding a bird while sitting in a flowering tree.	the woman is swimming in a ocean with her bird.	2
A woman is holding a bird while sitting in a flowering tree.	one woman is older than 15.	0
A woman is holding a bird while sitting in a flowering tree.	a woman praying her bird climbing a tree	1
A woman is holding a bird while sitting in a flowering tree.	a woman is feeding a black bird from sitting in a tree.	1
A woman is holding a bird while sitting in a flowering tree.	the woman is chasing a black bird.	1
People picking in a marsh.	they are ice fishing.	2
People picking in a marsh.	people are picking in a marsh in lyon.	1
People picking in a marsh.	people are near a body of water.	0
Woman sitting in tree with dove.	a girl hunts ducks.	2
Woman sitting in tree with dove.	a woman and a man are near each other.	0
Woman sitting in tree with dove.	a man is outside.	0
Woman sitting in tree with dove.	a woman under a tree.	1
Woman sitting in tree with dove.	woman in the tree.	0
Woman sitting in tree with dove.	holt is standing next to a tree.	2
Woman sitting in tree with dove.	the woman is listening to the dove	1
Woman sitting in tree with dove.	the woman was standing on a branch.	2
Woman sitting in tree with dove.	the woman is sleeping.	2
Woman sitting in tree with dove.	some birds are in the tree.	1
Woman sitting in tree with dove.	the lady is in the apartment staring at a sparrow.	2
Woman sitting in tree with dove.	akir is near a bird	0
Woman sitting in tree with dove.	a woman tends to an injured bird at a bird's nest.	1
Woman sitting in tree with dove.	the lady is touching a dove.	1
Woman sitting in tree with dove.	the lady and the bird are outside.	0
two people working in water next to field	two people are next to a field.	0
two people working in water next to field	three people are in killed.	2
two people working in water next to field	two people are selling rice.	1
Two people are planting small bushes near a grassy area.	pursuits people - planting trees.	2
Two people are planting small bushes near a grassy area.	two people are planting trees for charity.	1
Two people are planting small bushes near a grassy area.	two people are planting something.	0
a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.	the person is walking in front of an outdoor mural of the president.	1
a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.	a guy was gay.	2
a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.	a girl walking in front of a painting featuring a portrait of a bald guy.	0
a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.	a woman is on her way home and passes a mural.	1
a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.	a lady walks past a large painting.	0
a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.	a cat flies an |	2
a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.	a person is walking past the portrait of a new alien overlord king.	2
a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.	a person walks in front of a doorly of a man with no hair.	0
a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.	a type is outdoors.	0
a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.	a woman was looking at an outdoor mural.	1
a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.	a girl walking in front painting, a guy in black.	1
a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.	a lady walks past a large tree that she did	1
a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.	a woman is looking at a window inside of a museum.	2
a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.	a person is walking in front of an old portrait of a man.	0
a woman walking in front of an outdoor mural, prominently featuring a portrait of a bald man.	a man walks among a wall mural.	2
A woman dressed in a white shirt is walking by graffiti.	a woman is vomiting.	0
A woman dressed in a white shirt is walking by graffiti.	a woman is spray painting a building.	2
A woman dressed in a white shirt is walking by graffiti.	a woman was walking through a dangerous neighborhood.	1
Woman walking by a mural of an old bald man.	a woman is walking in an open style.	1
Woman walking by a mural of an old bald man.	a crowd watches tv.	2
Woman walking by a mural of an old bald man.	the woman sees a mural.	0
This wall has a picture of a man on it.	there is a bottle and it has a picture on it.	0
This wall has a picture of a man on it.	there is a wall with a cage in it.	1
This wall has a picture of a man on it.	there is a metal wall.	2
A woman walks by a mural.	there is a female in this.	0
A woman walks by a mural.	she is crossblading with fifteen.	2
A woman walks by a mural.	she is admiring a painting on the.	1
A woman is a red tank top is riding horse.	there isder who is on a horse.	2
A woman is a red tank top is riding horse.	a woman is horsebackding the fields.	1
A woman is a red tank top is riding horse.	a woman on horseback.	0
Two men riding on a motorbike in an Asian community.	two men are superheroes.	2
Two men riding on a motorbike in an Asian community.	two guardians are asian.	1
Two men riding on a motorbike in an Asian community.	two men are riding bikes.	0
A man sits on a deck, taking a break from fishing.	a man sits in his fishing boat out at sea.	2
A man sits on a deck, taking a break from fishing.	a man elsie on a deck.	0
A man sits on a deck, taking a break from fishing.	a man sits on a deck with his fishing pole nearby.	1
The man is sitting on a wooden rail near two fishing poles.	the scene is on a pier.	1
The man is sitting on a wooden rail near two fishing poles.	a man is sitting.	0
The man is sitting on a wooden rail near two fishing poles.	the site is in the desert.	2
Someone in a yellow hat is sitting next to two fishing poles.	the person is next to a fishing pole.	0
Someone in a yellow hat is sitting next to two fishing poles.	the person is sitting next to one another..	2
Someone in a yellow hat is sitting next to two fishing poles.	the fishing poles belong to the perosn.	1
A man sits on the edge of a wooden bench with two fishing poles behind him.	a man with fishing poles behind him sits on a bench.	0
A man sits on the edge of a wooden bench with two fishing poles behind him.	the man sits on a wooden bench in the train station filled with bags.	2
A man sits on the edge of a wooden bench with two fishing poles behind him.	two man sides on a green painted wooden bench.	1
A man sits on the edge of a brige, looking out, fishing poles behind him.	a man punched.	2
A man sits on the edge of a brige, looking out, fishing poles behind him.	a man fishing?	0
A man sits on the edge of a brige, looking out, fishing poles behind him.	one man catching a bass.	1
Young men and women gather outside in the streets for a party.	young men and women were gathering inside in the quiet for a party.	2
Young men and women gather outside in the streets for a party.	young men and women are gathering outside seattle for the fourth of july.	1
Young men and women gather outside in the streets for a party.	men and women are present.	0
People on the roof of a building look down on a crowded street.	people are outside on the roof looking for an accident in the street.	1
People on the roof of a building look down on a crowded street.	we are inside of the building.	2
People on the roof of a building look down on a crowded street.	people are afraid.	0
Several people watching a scene on the street below from an apartment building.	the people are swimming in the ocean.	2
Several people watching a scene on the street below from an apartment building.	the people are looking out the window.	0
Several people watching a scene on the street below from an apartment building.	the people are enterprised.	1
A group of people gathered around a brick building that has three men on top of it.	the building is wooden.	2
A group of people gathered around a brick building that has three men on top of it.	the men are making a lot of noise.	1
A group of people gathered around a brick building that has three men on top of it.	the building is occupied.	0
A man playing the guitar is jumping.	the man rows the boat down the river.	2
A man playing the guitar is jumping.	the guitarist ends the song with a leap.	1
A man playing the guitar is jumping.	the guitarist performs ;	0
A young man in black glasses and a striped shirt jumping up while playing a guitar.	a man is playing a guitar.	0
A young man in black glasses and a striped shirt jumping up while playing a guitar.	a man gets excited as he performs the music in front of the large crowd.	1
A young man in black glasses and a striped shirt jumping up while playing a guitar.	a man sits calmly as he plays a slow piece for the group on his guitar.	2
a young man playing an electric guitar while jumping up and down in front of fans.	his guitar playing a new solo he has worked on.	1
a young man playing an electric guitar while jumping up and down in front of fans.	the guitar playing is tossed around on the floor covered with peanuts.	2
a young man playing an electric guitar while jumping up and down in front of fans.	a capitalist playing is beneficial for a audience.	0
The guy in a striped shirt is playing his electric guitar.	every male has a musical instrument on request.	1
The guy in a striped shirt is playing his electric guitar.	a couple interrupt an outdoor concert.	2
The guy in a striped shirt is playing his electric guitar.	a single has an instrument.	0
A man in a striped polo plays a blue electric guitar.	the man is riding a unicycle in the circus.	2
A man in a striped polo plays a blue electric guitar.	the man is wearing a polo shirt.	0
A man in a striped polo plays a blue electric guitar.	the man is playing music.	1
Two men playing instruments for money while a woman is on her phone.	a kid using a.	2
Two men playing instruments for money while a woman is on her phone.	punched playing instruments for money	0
Two men playing instruments for money while a woman is on her phone.	people buy instruments for money because they are homeless	1
Two men, playing a soprano saxophone and guitar play music on a street corner while a listener checks her phone.	several kids were playing music on the street corner	0
Two men, playing a soprano saxophone and guitar play music on a street corner while a listener checks her phone.	the musicians were playing in a large.	2
Two men, playing a soprano saxophone and guitar play music on a street corner while a listener checks her phone.	the listener is using an iphone to check her texts	1
A lady standing on the corner using her phone.	she is inside the house	2
A lady standing on the corner using her phone.	the lady arrived outside	0
A lady standing on the corner using her phone.	rich lady has a smartphone	1
A girl photographs street musicians with her phone.	girl by her mom	2
A girl photographs street musicians with her phone.	girl recording music video	1
A girl photographs street musicians with her phone.	girl type picture	0
A person aquestrian horse jumping over a wooden fence.	a person falls jumping	0
A person aquestrian horse jumping over a wooden fence.	a person who was surgically connected to a horse escapes from captivity.	1
A person aquestrian horse jumping over a wooden fence.	a person kills a horse to send it to a glue factory.	2
Two men are playing instruments on a sidewalk.	streetmen make their living on the corner.	1
Two men are playing instruments on a sidewalk.	street performers show their spot.	0
Two men are playing instruments on a sidewalk.	two musicians perform in a sold out hall.	2
A woman wearing a black top and red skirt is throwing a ball into the air.	the woman is playing catch with her son.	1
A woman wearing a black top and red skirt is throwing a ball into the air.	a female is atop a round object.	0
A woman wearing a black top and red skirt is throwing a ball into the air.	a man is throwing a frisbee.	2
Several people read by a campfire at night.	800 people are camping by the river.	1
Several people read by a campfire at night.	there were people outside.	0
Several people read by a campfire at night.	the two are sitting in the classroom.	2
A dog swims in the water.	a dog is swimming to it's owner.	1
A dog swims in the water.	a dog is swimming outside.	0
A dog swims in the water.	a frog swims in the water.	2
Three people sitting around a fire.	people on the plane.	2
Three people sitting around a fire.	three people outside.	0
Three people sitting around a fire.	coastal camping.	1
A group of people are burning things.	the lonely forester put water on the campfire.	2
A group of people are burning things.	a group of people are burning stuff.	0
A group of people are burning things.	a group of people are burning everything they can.	1
A large black and white dog is swimming in the water.	a hippo is never in a metal.	2
A large black and white dog is swimming in the water.	an animal is swimming outside.	0
A large black and white dog is swimming in the water.	the dog is retrieving a time.	1
three people sit around a campfire.	the three people are hot.	1
three people sit around a campfire.	the fire continues on	0
three people sit around a campfire.	. four girls put out the fire	2
A dog swims through deep water.	dog swimming in ponds.	0
A dog swims through deep water.	dog running in an open field.	2
A dog swims through deep water.	the dog had long hair.	1
A black and white dog is swimming.	a dog dries himself off	2
A black and white dog is swimming.	a dog is swimming at hoax lake	1
A black and white dog is swimming.	there is an animal in water	0
A woman helps boys on a computer.	the boy is helping the kid eat.	2
A woman helps boys on a computer.	the boy is writing his own paper.	1
A woman helps boys on a computer.	the boy is building a computer	0
A woman in a butchers shop leans over a counter and handles a large strip of meat.	a woman. pizza.	2
A woman in a butchers shop leans over a counter and handles a large strip of meat.	the paper butcher shows a customer a large cut.	1
A woman in a butchers shop leans over a counter and handles a large strip of meat.	a woman handles meat.	0
A woman with thinning hair is working in a meat processing plant.	a woman was working a tough job.	0
A woman with thinning hair is working in a meat processing plant.	a man is paying his employees.	2
A woman with thinning hair is working in a meat processing plant.	the woman is working hard.	1
A woman is handling meat from a clear glass meat cage while standing before a wooden counter with a large metal bowl on it.	woman handling maxi boxes in front of a wooden counter.	0
A woman is handling meat from a clear glass meat cage while standing before a wooden counter with a large metal bowl on it.	woman petting her dog in the backyard, on a great sunny day.	2
A woman is handling meat from a clear glass meat cage while standing before a wooden counter with a large metal bowl on it.	female chef preparing meat in a large building box, with seasonings in a bowl.	1
A room full of children raise their hands, fingers extended, to the sky.	there is a room full of seventeen children.	1
A room full of children raise their hands, fingers extended, to the sky.	there is a small list of children.	0
A room full of children raise their hands, fingers extended, to the sky.	there is one room with a single child.	2
A woman walks past a fountain with palm trees in the background.	a girl walks passed a puddle with trees under here.	1
A woman walks past a fountain with palm trees in the background.	a woman walks past water with tall trees in the background.	0
A woman walks past a fountain with palm trees in the background.	a boy goes for a swim in the water fountain with trees in the park.	2
people raise their hands.	we are in class.	1
people raise their hands.	people are encouraged to answer questions.	0
people raise their hands.	his people for being rude.	2
An African American man in a suit gestures with his hands as he speaks.	a black man in a wheelchair is moving his hands dilatedly while speaking.	0
An African American man in a suit gestures with his hands as he speaks.	a white man in overalls is moving his hands and speaking.	2
An African American man in a suit gestures with his hands as he speaks.	a black man has great enthusiasm and is waving his hands and speaking.	1
A man is browsing things for sale on the street.	the man is browsing things for sale on the road.	0
A man is browsing things for sale on the street.	a sadist is browsing books for sale on the street.	1
A man is browsing things for sale on the street.	the woman is browsing things for free on the street.	2
A man on a high ladder is painting the outside of a house.	a man outside on a light ladder is painting the outside of a house.	0
A man on a high ladder is painting the outside of a house.	a man is giving his wife a fresh coat of paint.	1
A man on a high ladder is painting the outside of a house.	dad is doodling in his notebook.	2
Repairing a house in the hot sun how unfunny that has to be.	the sun is still fixing on the house to be repaired.	1
Repairing a house in the hot sun how unfunny that has to be.	its raining outside.	2
Repairing a house in the hot sun how unfunny that has to be.	it is to warm to be outside.	0
A man in khaki pants and a light shirt and hat stands on scaffolding to apply stucco to a building.	a man was playing basketball.	2
A man in khaki pants and a light shirt and hat stands on scaffolding to apply stucco to a building.	a construction worker is repairing siding.	1
A man in khaki pants and a light shirt and hat stands on scaffolding to apply stucco to a building.	a man is wearing s hat.	0
Children getting temporary tattoos from a Muslim lady.	children get some temporary christmas decorations	0
Children getting temporary tattoos from a Muslim lady.	old man paint project canvas by the river	2
Children getting temporary tattoos from a Muslim lady.	children at a temple project temporary tattoos	1
A little boy with blue jeans runs on the leaves in the woods.	a small boy ran away from his babysitter and into the woods.	1
A little boy with blue jeans runs on the leaves in the woods.	a girl is dancing.	2
A little boy with blue jeans runs on the leaves in the woods.	the boy is playing in the woods.	0
A young boy in a blue shirt is walking on a trail through the woods.	26th boy is sitting inside his tent.	2
A young boy in a blue shirt is walking on a trail through the woods.	a boy is screaming.	0
A young boy in a blue shirt is walking on a trail through the woods.	a young boy is looking for birds in the window.	1
A young child with blond-hair, wearing a blue shirt and jeans is walking in the woods.	a young woman plays with dolls ;	2
A young child with blond-hair, wearing a blue shirt and jeans is walking in the woods.	a child walks through the park looking for animals.	1
A young child with blond-hair, wearing a blue shirt and jeans is walking in the woods.	a stray child walks through the woods.	0
A small child in blue shirt and blue jeans is running through a wooded path over dry leaves.	a child is running in circles with his mother.	1
A small child in blue shirt and blue jeans is running through a wooded path over dry leaves.	a child, running over leaves.	0
A small child in blue shirt and blue jeans is running through a wooded path over dry leaves.	no old man, running over leaves.	2
Young boy jogging through the forest.	little timmy was chased o dorms through the forest	1
Young boy jogging through the forest.	a kid rushing by a stream	2
Young boy jogging through the forest.	a child runs through the woods	0
a small child in a pink shirt running through a flowery field.	a boy is running through a rose garden.	1
a small child in a pink shirt running through a flowery field.	a child came running.	0
a small child in a pink shirt running through a flowery field.	the puppy is sitting.	2
A crew gets ready at the sideline in an empty basketball stadium.	a crew is getting.	0
A crew gets ready at the sideline in an empty basketball stadium.	one team loses the game.	1
A crew gets ready at the sideline in an empty basketball stadium.	the team is playing.	1
Men standing at the edge of a basketball court talking to each other.	the men are arguing in a restaurant.	2
Men standing at the edge of a basketball court talking to each other.	the men are having a conversation.	0
Men standing at the edge of a basketball court talking to each other.	the men talk about their game.	1
commentators and broadcasters at there both in an arena before the game.	commentators and broadcasters are preparing at the arena before a.	0
commentators and broadcasters at there both in an arena before the game.	commentators and broadcasters are rehearsing at the venue before a.	1
commentators and broadcasters at there both in an arena before the game.	commentators and broadcasters are rushing into traffic before a game	2
Three basketball commentators are talking while standing on the sidelines.	the basketball commentators are yelling	1
Three basketball commentators are talking while standing on the sidelines.	three basketball commentators are fighting the basketball coverage.	2
Three basketball commentators are talking while standing on the sidelines.	three people are watching me from the side.	0
Reporters or commentators at a sporting event are standing and sitting behind a large sign.	reporters or commentators at a sporting event await the press conference from the head coach.	1
Reporters or commentators at a sporting event are standing and sitting behind a large sign.	a group of people have gathered at the sporting event behind a large sign.	0
Reporters or commentators at a sporting event are standing and sitting behind a large sign.	no one gathered at a single event near the large sign.	2
Two women attempt to blow out the candles of a multicolored, multi-tiered cake while a third woman holds a candle up in the air.	there is fire visible in the shot.	0
Two women attempt to blow out the candles of a multicolored, multi-tiered cake while a third woman holds a candle up in the air.	there is only one food item visible, and that is a burrow.	2
Two women attempt to blow out the candles of a multicolored, multi-tiered cake while a third woman holds a candle up in the air.	one of the women died having her 30th birthday.	1
A girl touches the fountain with her foot.	a fire erupts.	2
A girl touches the fountain with her foot.	a girl and a boy.	0
A girl touches the fountain with her foot.	a kitchen and a drinking fountain.	1
A little girl dressed in pink and white is walking.	the girl is soon blown away by the wind.	2
A little girl dressed in pink and white is walking.	a girl is wearing pure all white.	0
A little girl dressed in pink and white is walking.	the girl through a handbasket.	1
A young girl in all pink clothing walking.	a child is wearing only one breast.	0
A young girl in all pink clothing walking.	the girl is wearing a blue dress.	2
A young girl in all pink clothing walking.	the artist is walking to school.	1
A young Asian girl wearing a pink outfit is walking past a bicycle.	two young girl wears blue in the classroom.	2
A young Asian girl wearing a pink outfit is walking past a bicycle.	a young girl wears pink with his embarrassment.	1
A young Asian girl wearing a pink outfit is walking past a bicycle.	a young girl wears a pink dress.	0
A man poses in mid jump beside a left turn road sign and a recumbent bicycle in the snow, behind him there is a large body of water.	a man was posing beside a road sign in the snow	0
A man poses in mid jump beside a left turn road sign and a recumbent bicycle in the snow, behind him there is a large body of water.	the man is making faces and jumping in the air.	1
A man poses in mid jump beside a left turn road sign and a recumbent bicycle in the snow, behind him there is a large body of water.	a child is running down the road.	2
The little girl is dressed in pink.	the little girl is dressed in the same color.	0
The little girl is dressed in pink.	the little girl is wearing a pink dress.	1
The little girl is dressed in pink.	nobody is here.	2
A man jumping up in the snow next to a body of water.	it is alarming.	0
A man jumping up in the snow next to a body of water.	the man is right.	1
A man jumping up in the snow next to a body of water.	it was very hot.	2
A young boy paddling in a body of water on a small floating vessel near the shoreline.	a little boy is swimming by the the shore	1
A young boy paddling in a body of water on a small floating vessel near the shoreline.	a little boy is swimming in his backyard.	2
A young boy paddling in a body of water on a small floating vessel near the shoreline.	a little boy is outside in the.	0
A nurse treating a child with cleft palate.	child got hurt lost bike	1
A nurse treating a child with cleft palate.	nurse child child	0
A nurse treating a child with cleft palate.	it eats trees	2
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.	there is only one person left.	2
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.	three kids prepare to go canoeing while their friend uses his kayak.	1
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.	some kids are taking a test at school.	2
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.	three kids stand by the shore of a lake.	0
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.	the beasts are all at camp.	1
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.	the ship sinks in the ocean.	2
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.	the others are getting ready to go for a swim.	1
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.	the redheaded boy is ready to kayak on the lake.	1
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.	there are a2 offices present.	0
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.	a boy in a yellow soak.	0
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.	the church youth group prepares to go out on the lake in kayaks and canoes.	1
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.	three children play near a clear lake with some canoes, while a fourth child sits in a kayak with a paddle, dressed in red.	0
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.	the grass is green.	0
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.	a lake is trying to pull the kids into it.	2
There are four canoes in the background, beautiful green grass, with three kids standing at the shore of the lake, that is crystal and crisp looking, and there is a redheaded boy wearing a red shirt, red life vest, and is in a yellow kayak, with a double ended yellow paddle.	there is no water in the lake.	2
In the background, there are 3 people on the shore among several canoes, and the young man in the foreground is paddling through the water, while wearing a life jacket and smiling.	the people are on ty family canoe trip.	1
In the background, there are 3 people on the shore among several canoes, and the young man in the foreground is paddling through the water, while wearing a life jacket and smiling.	a young man is canoeing.	0
In the background, there are 3 people on the shore among several canoes, and the young man in the foreground is paddling through the water, while wearing a life jacket and smiling.	a lot of people ride water rafts down a nearby river.	2
a child is paddleboarding outdoors	a child goes paddleing for the first time.	1
a child is paddleboarding outdoors	an old man falls off a paddle..	2
a child is paddleboarding outdoors	a small human in the water.	0
A smiling young girl sitting at a table has an upturned bowl on her head.	a child has a bowl on his head.	0
A smiling young girl sitting at a table has an upturned bowl on her head.	crete young girl has a bowl on her head filled with spaghetti.	1
A smiling young girl sitting at a table has an upturned bowl on her head.	the girl has a wig on her head.	2
Three men sit together while one looks at a book.	three squares are in the bible.	1
Three men sit together while one looks at a book.	people are staring at me.	0
Three men sit together while one looks at a book.	women are reading a book.	2
A nurse monitors a young child who appears to be post-op.	a nurse monitors each patient.	0
A nurse monitors a young child who appears to be post-op.	a nurse is administering an injection.	2
A nurse monitors a young child who appears to be post-op.	a woman watching over the person.	0
The little girl in the blue sweater is reading her book.	a little girl is playing a board game with her brother.	2
The little girl in the blue sweater is reading her book.	a helpless child is reading her book to her three animals.	1
The little girl in the blue sweater is reading her book.	a small child is holding a book.	0
The nurse smiles as she gently rubs the tummy of the sleeping child.	the sleeping child is standing.	2
The nurse smiles as she gently rubs the tummy of the sleeping child.	the sleeping child murals in the hospital.	0
The nurse smiles as she gently rubs the tummy of the sleeping child.	the sleeping child lies on a hospital bed.	1
A little girl with a backpack sitting down looking at a book.	the boy reads a book about dogs	1
A little girl with a backpack sitting down looking at a book.	the girl reads the book	0
A little girl with a backpack sitting down looking at a book.	the bull eats rats	2
A baseball player holds his bat, while the catcher and umpire squat behind him and a crowd watches.	the crowd through a baseball game	0
A baseball player holds his bat, while the catcher and umpire squat behind him and a crowd watches.	the crowd is at a track meet.	2
A baseball player holds his bat, while the catcher and umpire squat behind him and a crowd watches.	the pirates are playing the mets.	1
There is a baseball player standing at home plate, the catcher behind him has his hand up in the air with his glove, and the umpire is standing behind him, and many people in the stands.	the final game of the championship is being played as many fans are in the stands.	1
There is a baseball player standing at home plate, the catcher behind him has his hand up in the air with his glove, and the umpire is standing behind him, and many people in the stands.	fans fill the seats as they watch their favorite soccer teams battle it out on the holidays.	2
There is a baseball player standing at home plate, the catcher behind him has his hand up in the air with his glove, and the umpire is standing behind him, and many people in the stands.	a baseball game is also played.	0
A baseball player getting ready to bat.	the baseball player is batting with with blue bat.	1
A baseball player getting ready to bat.	the player was ready to hit.	0
A baseball player getting ready to bat.	the basketball player was going to throw the ball.	2
A man in a red and white uniform holding a bat.	one man with a bat wearing red and white ;	0
A man in a red and white uniform holding a bat.	someone wearing green and yellow in a crickett hat.	2
